Season,TeamID,TeamName,FirstD1Season,LastD1Season,num,count,win_count,win_rate,season_elo
2010,1101,Abilene Chr,2014,2024,1,0.0,0.0,0.0,50.0
2010,1102,Air Force,1985,2024,2,29.0,8.0,0.27586206896551724,44.098841515031665
2010,1103,Akron,1985,2024,3,33.0,23.0,0.696969696969697,63.32617615920674
2010,1104,Alabama,1985,2024,4,32.0,17.0,0.53125,68.06188490454656
2010,1105,Alabama A&M,2000,2024,5,23.0,8.0,0.34782608695652173,23.57499818570264
2010,1106,Alabama St,1985,2024,6,28.0,13.0,0.4642857142857143,40.28794851301102
2010,1107,SUNY Albany,2000,2024,7,32.0,7.0,0.21875,32.5133414489095
2010,1108,Alcorn St,1985,2024,8,31.0,2.0,0.06451612903225806,8.717669027890466
2010,1109,Alliant Intl,1985,1991,9,0.0,0.0,0.0,50.0
2010,1110,American Univ,1985,2024,10,31.0,11.0,0.3548387096774194,41.352457668761176
2010,1111,Appalachian St,1985,2024,11,31.0,20.0,0.6451612903225806,54.597522324765805
2010,1112,Arizona,1985,2024,12,31.0,16.0,0.5161290322580645,70.67586934628594
2010,1113,Arizona St,1985,2024,13,32.0,22.0,0.6875,75.10450823009216
2010,1114,Ark Little Rock,1985,2024,14,28.0,6.0,0.21428571428571427,42.2426954983427
2010,1115,Ark Pine Bluff,1999,2024,15,32.0,17.0,0.53125,36.178987256163964
2010,1116,Arkansas,1985,2024,16,32.0,14.0,0.4375,60.88240259378658
2010,1117,Arkansas St,1985,2024,17,29.0,15.0,0.5172413793103449,46.294113508510094
2010,1118,Armstrong St,1987,1987,18,0.0,0.0,0.0,50.0
2010,1119,Army,1985,2024,19,28.0,13.0,0.4642857142857143,33.51337735947645
2010,1120,Auburn,1985,2024,20,31.0,14.0,0.45161290322580644,63.776789946106504
2010,1121,Augusta,1985,1991,21,0.0,0.0,0.0,50.0
2010,1122,Austin Peay,1985,2024,22,30.0,15.0,0.5,47.366377283350346
2010,1123,Ball St,1985,2024,23,29.0,14.0,0.4827586206896552,44.00890608474698
2010,1124,Baylor,1985,2024,24,31.0,24.0,0.7741935483870968,78.4475060654226
2010,1125,Belmont,2000,2024,25,31.0,19.0,0.6129032258064516,53.14250787863523
2010,1126,Bethune-Cookman,1985,2024,26,30.0,14.0,0.4666666666666667,29.578291647657082
2010,1127,Binghamton,2002,2024,27,29.0,11.0,0.3793103448275862,41.40704111572836
2010,1128,Birmingham So,2003,2006,28,0.0,0.0,0.0,50.0
2010,1129,Boise St,1985,2024,29,31.0,14.0,0.45161290322580644,52.81344949232975
2010,1130,Boston College,1985,2024,30,31.0,15.0,0.4838709677419355,66.49975368402637
2010,1131,Boston Univ,1985,2024,31,32.0,19.0,0.59375,50.76310682697127
2010,1132,Bowling Green,1985,2024,32,29.0,13.0,0.4482758620689655,49.395333257721475
2010,1133,Bradley,1985,2024,33,31.0,16.0,0.5161290322580645,62.52992683991452
2010,1134,Brooklyn,1985,1992,34,0.0,0.0,0.0,50.0
2010,1135,Brown,1985,2024,35,29.0,9.0,0.3103448275862069,33.93751159741957
2010,1136,Bryant,2009,2024,36,30.0,1.0,0.03333333333333333,18.21601397328193
2010,1137,Bucknell,1985,2024,37,31.0,14.0,0.45161290322580644,39.764632890100614
2010,1138,Buffalo,1992,2024,38,29.0,17.0,0.5862068965517241,54.333872073014504
2010,1139,Butler,1985,2024,39,32.0,28.0,0.875,81.49080179751488
2010,1140,BYU,1985,2024,40,33.0,28.0,0.8484848484848485,82.29956555751465
2010,1141,C Michigan,1985,2024,41,29.0,14.0,0.4827586206896552,46.89469059616347
2010,1142,Cal Poly,1995,2024,42,31.0,12.0,0.3870967741935484,40.031358791436546
2010,1143,California,1985,2024,43,33.0,23.0,0.696969696969697,77.84340551642677
2010,1144,Campbell,1985,2024,44,28.0,17.0,0.6071428571428571,44.132708680932424
2010,1145,Canisius,1985,2024,45,32.0,15.0,0.46875,41.099828390003594
2010,1146,Cent Arkansas,2007,2024,46,26.0,6.0,0.23076923076923078,30.187109863064236
2010,1147,Centenary,1985,2011,47,27.0,6.0,0.2222222222222222,29.495531613778624
2010,1148,Central Conn,1987,2024,48,30.0,12.0,0.4,33.406378990399716
2010,1149,Charleston So,1985,2024,49,26.0,9.0,0.34615384615384615,27.719792860886244
2010,1150,Charlotte,1985,2024,50,31.0,19.0,0.6129032258064516,60.70439269489546
2010,1151,Chattanooga,1985,2024,51,31.0,13.0,0.41935483870967744,40.187574865243036
2010,1152,Chicago St,1985,2024,52,28.0,6.0,0.21428571428571427,29.830978536135376
2010,1153,Cincinnati,1985,2024,53,33.0,18.0,0.5454545454545454,66.87088434198692
2010,1154,Citadel,1985,2024,54,30.0,14.0,0.4666666666666667,44.0043529908112
2010,1155,Clemson,1985,2024,55,31.0,21.0,0.6774193548387096,79.8508261901263
2010,1156,Cleveland St,1985,2024,56,31.0,14.0,0.45161290322580644,55.68966392432962
2010,1157,Coastal Car,1987,2024,57,30.0,24.0,0.8,47.22133367162071
2010,1158,Col Charleston,1992,2024,58,32.0,21.0,0.65625,55.19633718828712
2010,1159,Colgate,1985,2024,59,29.0,10.0,0.3448275862068966,33.340796691941804
2010,1160,Colorado,1985,2024,60,29.0,13.0,0.4482758620689655,54.84939646184236
2010,1161,Colorado St,1985,2024,61,30.0,15.0,0.5,52.92095887229718
2010,1162,Columbia,1985,2024,62,28.0,11.0,0.39285714285714285,33.394994090159926
2010,1163,Connecticut,1985,2024,63,32.0,17.0,0.53125,76.95846744133848
2010,1164,Coppin St,1986,2024,64,27.0,5.0,0.18518518518518517,25.792474027486293
2010,1165,Cornell,1985,2024,65,29.0,25.0,0.8620689655172413,63.784294807800165
2010,1166,Creighton,1985,2024,66,31.0,16.0,0.5161290322580645,64.69946717677819
2010,1167,CS Bakersfield,2008,2024,67,29.0,7.0,0.2413793103448276,34.56704946470552
2010,1168,CS Fullerton,1985,2024,68,29.0,14.0,0.4827586206896552,46.59395427007968
2010,1169,CS Northridge,1991,2024,69,32.0,11.0,0.34375,45.352653201078624
2010,1170,CS Sacramento,1992,2024,70,28.0,7.0,0.25,27.48349144504543
2010,1171,Dartmouth,1985,2024,71,27.0,4.0,0.14814814814814814,21.577837143536186
2010,1172,Davidson,1985,2024,72,29.0,14.0,0.4827586206896552,54.92276718814945
2010,1173,Dayton,1985,2024,73,32.0,20.0,0.625,69.65317799894879
2010,1174,Delaware,1985,2024,74,31.0,7.0,0.22580645161290322,36.948043030917944
2010,1175,Delaware St,1985,2024,75,26.0,14.0,0.5384615384615384,34.49481027995341
2010,1176,Denver,1999,2024,76,32.0,19.0,0.59375,48.5775439285037
2010,1177,DePaul,1985,2024,77,31.0,8.0,0.25806451612903225,48.3267125267016
2010,1178,Detroit,1985,2024,78,33.0,19.0,0.5757575757575758,51.758064722327916
2010,1179,Drake,1985,2024,79,33.0,14.0,0.42424242424242425,57.10613122085047
2010,1180,Drexel,1985,2024,80,32.0,16.0,0.5,51.87439975452851
2010,1181,Duke,1985,2024,81,34.0,29.0,0.8529411764705882,93.28461296229122
2010,1182,Duquesne,1985,2024,82,30.0,15.0,0.5,57.7663164309821
