Season,Slot,StrongSeed,WeakSeed,Strong Team,Weak Team,Strong Team Name,Weak Team Name
2024,R1W1,W01,W16,1163,1391,Connecticut,Stetson
2024,R1W2,W02,W15,1235,1355,Iowa St,S Dakota St
2024,R1W3,W03,W14,1228,1287,Illinois,Morehead St
2024,R1W4,W04,W13,1120,1463,Auburn,Yale
2024,R1W5,W05,W12,1361,1412,San Diego St,UAB
2024,R1W6,W06,W11,1140,1182,BYU,Duquesne
2024,R1W7,W07,W10,1450,1179,Washington St,Drake
2024,R1W8,W08,W09,1194,1321,FL Atlantic,Northwestern
2024,R1X1,X01,X16,1314,1224,North Carolina,Howard
2024,R1X2,X02,X15,1112,1253,Arizona,Long Beach St
2024,R1X3,X03,X14,1124,1159,Baylor,Colgate
2024,R1X4,X04,X13,1104,1158,Alabama,Col Charleston
2024,R1X5,X05,X12,1388,1213,St Mary's CA,Grand Canyon
2024,R1X6,X06,X11,1155,1307,Clemson,New Mexico
2024,R1X7,X07,X10,1173,1305,Dayton,Nevada
2024,R1X8,X08,X09,1280,1277,Mississippi St,Michigan St
2024,R1Y1,Y01,Y16,1345,1212,Purdue,Grambling
2024,R1Y2,Y02,Y15,1397,1389,Tennessee,St Peter's
2024,R1Y3,Y03,Y14,1166,1103,Creighton,Akron
2024,R1Y4,Y04,Y13,1242,1359,Kansas,Samford
2024,R1Y5,Y05,Y12,1211,1270,Gonzaga,McNeese St
2024,R1Y6,Y06,Y11,1376,1332,South Carolina,Oregon
2024,R1Y7,Y07,Y10,1400,1161,Texas,Colorado St
2024,R1Y8,Y08,Y09,1429,1395,Utah St,TCU
2024,R1Z1,Z01,Z16,1222,1255,Houston,Longwood
2024,R1Z2,Z02,Z15,1266,1443,Marquette,WKU
2024,R1Z3,Z03,Z14,1246,1324,Kentucky,Oakland
2024,R1Z4,Z04,Z13,1181,1436,Duke,Vermont
2024,R1Z5,Z05,Z12,1458,1241,Wisconsin,James Madison
2024,R1Z6,Z06,Z11,1403,1301,Texas Tech,NC State
2024,R1Z7,Z07,Z10,1196,1129,Florida,Boise St
2024,R1Z8,Z08,Z09,1304,1401,Nebraska,Texas A&M
2024,R2W1,R1W1,R1W8,,,,
2024,R2W2,R1W2,R1W7,,,,
2024,R2W3,R1W3,R1W6,,,,
2024,R2W4,R1W4,R1W5,,,,
2024,R2X1,R1X1,R1X8,,,,
2024,R2X2,R1X2,R1X7,,,,
2024,R2X3,R1X3,R1X6,,,,
2024,R2X4,R1X4,R1X5,,,,
2024,R2Y1,R1Y1,R1Y8,,,,
2024,R2Y2,R1Y2,R1Y7,,,,
2024,R2Y3,R1Y3,R1Y6,,,,
2024,R2Y4,R1Y4,R1Y5,,,,
2024,R2Z1,R1Z1,R1Z8,,,,
2024,R2Z2,R1Z2,R1Z7,,,,
2024,R2Z3,R1Z3,R1Z6,,,,
2024,R2Z4,R1Z4,R1Z5,,,,
2024,R3W1,R2W1,R2W4,,,,
2024,R3W2,R2W2,R2W3,,,,
2024,R3X1,R2X1,R2X4,,,,
2024,R3X2,R2X2,R2X3,,,,
2024,R3Y1,R2Y1,R2Y4,,,,
2024,R3Y2,R2Y2,R2Y3,,,,
2024,R3Z1,R2Z1,R2Z4,,,,
2024,R3Z2,R2Z2,R2Z3,,,,
2024,R4W1,R3W1,R3W2,,,,
2024,R4X1,R3X1,R3X2,,,,
2024,R4Y1,R3Y1,R3Y2,,,,
2024,R4Z1,R3Z1,R3Z2,,,,
2024,R5WX,R4W1,R4X1,,,,
2024,R5YZ,R4Y1,R4Z1,,,,
2024,R6CH,R5WX,R5YZ,,,,
2024,X16,X16a,X16b,1224,1447,Howard,Wagner
2024,Y10,Y10a,Y10b,1161,1438,Colorado St,Virginia
2024,Y16,Y16a,Y16b,1212,1286,Grambling,Montana St
2024,Z10,Z10a,Z10b,1129,1160,Boise St,Colorado
